table_num,TABLE_NAME,category_num,year,Units,value_added,imports,total,CATEGORY_DESC
6,Away food and beverage dollar,12,6/15/05,million 2009 dollars,4645.1,155.82,4806.48,Advertising
6,Away food and beverage dollar,13,6/15/05,million 2009 dollars,1543.76,23.08,1563.72,Legal & accounting
6,Away food and beverage dollar,14,6/15/05,million 2009 dollars,0,0,203598.44,Total food dollar
6,Away food and beverage dollar,15,6/15/05,million 2009 dollars,0,0,189255.06,Domestic food dollar
6,Away food and beverage dollar,16,6/15/05,million 2009 dollars,0,0,20554.53,Farm share
1,Food dollar,1,6/16/05,Cents per Domestic Real Food Dollar,90.9,3.6,95.8,Total
1,Food dollar,2,6/16/05,Cents per Domestic Real Food Dollar,3.1,0.4,3.5,Agribusiness
1,Food dollar,3,6/16/05,Cents per Domestic Real Food Dollar,10.2,0.9,11,Farm production
1,Food dollar,4,6/16/05,Cents per Domestic Real Food Dollar,18.9,0.9,19.8,Food processing
1,Food dollar,5,6/16/05,Cents per Domestic Real Food Dollar,3.2,0.6,3.9,Packaging
1,Food dollar,6,6/16/05,Cents per Domestic Real Food Dollar,3.6,0.2,3.8,Transportation
1,Food dollar,7,6/16/05,Cents per Domestic Real Food Dollar,11.5,-0.2,11.3,Wholesale trade
1,Food dollar,8,6/16/05,Cents per Domestic Real Food Dollar,14.8,0.2,15,Retail trade
1,Food dollar,9,6/16/05,Cents per Domestic Real Food Dollar,21,0.2,20.6,Foodservices
1,Food dollar,10,6/16/05,Cents per Domestic Real Food Dollar,2,0.2,2.3,Energy
1,Food dollar,11,6/16/05,Cents per Domestic Real Food Dollar,3.8,0.1,3.9,Finance & Insurance
1,Food dollar,12,6/16/05,Cents per Domestic Real Food Dollar,2.5,0.1,2.6,Advertising
1,Food dollar,13,6/16/05,Cents per Domestic Real Food Dollar,0.9,0,0.9,Legal & accounting
1,Food dollar,14,6/16/05,Cents per Domestic Real Food Dollar,0,0,106.1,Total food dollar
1,Food dollar,15,6/16/05,Cents per Domestic Real Food Dollar,0,0,100,Domestic food dollar
1,Food dollar,16,6/16/05,Cents per Domestic Real Food Dollar,0,0,18.6,Farm share
2,Food at home dollar,1,6/16/05,Cents per Domestic Real Food Dollar,91.4,4,96.8,Total
2,Food at home dollar,2,6/16/05,Cents per Domestic Real Food Dollar,4,0.5,4.4,Agribusiness
2,Food at home dollar,3,6/16/05,Cents per Domestic Real Food Dollar,13,1.1,14,Farm production
2,Food at home dollar,4,6/16/05,Cents per Domestic Real Food Dollar,25.1,1.2,26.3,Food processing
2,Food at home dollar,5,6/16/05,Cents per Domestic Real Food Dollar,3.6,0.7,4.4,Packaging
2,Food at home dollar,6,6/16/05,Cents per Domestic Real Food Dollar,4.5,0.3,4.7,Transportation
2,Food at home dollar,7,6/16/05,Cents per Domestic Real Food Dollar,14.7,-0.2,14.5,Wholesale trade
2,Food at home dollar,8,6/16/05,Cents per Domestic Real Food Dollar,26.3,0.3,26.6,Retail trade
2,Food at home dollar,9,6/16/05,Cents per Domestic Real Food Dollar,0.1,0,0.1,Foodservices
2,Food at home dollar,10,6/16/05,Cents per Domestic Real Food Dollar,2,0.3,2.3,Energy
2,Food at home dollar,11,6/16/05,Cents per Domestic Real Food Dollar,4.1,0.1,4.2,Finance & Insurance
2,Food at home dollar,12,6/16/05,Cents per Domestic Real Food Dollar,2.6,0.1,2.7,Advertising
2,Food at home dollar,13,6/16/05,Cents per Domestic Real Food Dollar,0.9,0,0.9,Legal & accounting
2,Food at home dollar,14,6/16/05,Cents per Domestic Real Food Dollar,0,0,105,Total food dollar
2,Food at home dollar,15,6/16/05,Cents per Domestic Real Food Dollar,0,0,100,Domestic food dollar
2,Food at home dollar,16,6/16/05,Cents per Domestic Real Food Dollar,0,0,23.8,Farm share
3,Food away from home dollar,1,6/16/05,Cents per Domestic Real Food Dollar,88.2,2.9,92.5,Total
3,Food away from home dollar,2,6/16/05,Cents per Domestic Real Food Dollar,1.8,0.2,2.1,Agribusiness
3,Food away from home dollar,3,6/16/05,Cents per Domestic Real Food Dollar,6.1,0.7,6.7,Farm production
3,Food away from home dollar,4,6/16/05,Cents per Domestic Real Food Dollar,10.5,0.5,11.1,Food processing
3,Food away from home dollar,5,6/16/05,Cents per Domestic Real Food Dollar,2.6,0.6,3.2,Packaging
3,Food away from home dollar,6,6/16/05,Cents per Domestic Real Food Dollar,2.1,0.1,2.2,Transportation
3,Food away from home dollar,7,6/16/05,Cents per Domestic Real Food Dollar,8,-0.1,7.9,Wholesale trade
3,Food away from home dollar,8,6/16/05,Cents per Domestic Real Food Dollar,0.3,0,0.3,Retail trade
3,Food away from home dollar,9,6/16/05,Cents per Domestic Real Food Dollar,53.1,0.6,51.8,Foodservices
3,Food away from home dollar,10,6/16/05,Cents per Domestic Real Food Dollar,2,0.2,2.2,Energy
3,Food away from home dollar,11,6/16/05,Cents per Domestic Real Food Dollar,3.3,0.1,3.3,Finance & Insurance
3,Food away from home dollar,12,6/16/05,Cents per Domestic Real Food Dollar,2.4,0.1,2.5,Advertising
3,Food away from home dollar,13,6/16/05,Cents per Domestic Real Food Dollar,0.8,0,0.8,Legal & accounting
3,Food away from home dollar,14,6/16/05,Cents per Domestic Real Food Dollar,0,0,107.3,Total food dollar
3,Food away from home dollar,15,6/16/05,Cents per Domestic Real Food Dollar,0,0,100,Domestic food dollar
3,Food away from home dollar,16,6/16/05,Cents per Domestic Real Food Dollar,0,0,11.6,Farm share
4,Food and beverage dollar,1,6/16/05,Cents per Domestic Real Food Dollar,90.8,3.7,95.8,Total
4,Food and beverage dollar,2,6/16/05,Cents per Domestic Real Food Dollar,2.6,0.3,2.9,Agribusiness
4,Food and beverage dollar,3,6/16/05,Cents per Domestic Real Food Dollar,8.5,0.7,9.3,Farm production
4,Food and beverage dollar,4,6/16/05,Cents per Domestic Real Food Dollar,20.2,1.1,21.1,Food processing
4,Food and beverage dollar,5,6/16/05,Cents per Domestic Real Food Dollar,3.8,0.8,4.7,Packaging
4,Food and beverage dollar,6,6/16/05,Cents per Domestic Real Food Dollar,3.4,0.2,3.6,Transportation
4,Food and beverage dollar,7,6/16/05,Cents per Domestic Real Food Dollar,12.9,-0.2,12.7,Wholesale trade
4,Food and beverage dollar,8,6/16/05,Cents per Domestic Real Food Dollar,15.1,0.2,15.3,Retail trade
4,Food and beverage dollar,9,6/16/05,Cents per Domestic Real Food Dollar,19.5,0.2,19.1,Foodservices
4,Food and beverage dollar,10,6/16/05,Cents per Domestic Real Food Dollar,1.9,0.2,2.2,Energy
4,Food and beverage dollar,11,6/16/05,Cents per Domestic Real Food Dollar,3.7,0.1,3.7,Finance & Insurance
4,Food and beverage dollar,12,6/16/05,Cents per Domestic Real Food Dollar,2.5,0.1,2.6,Advertising
4,Food and beverage dollar,13,6/16/05,Cents per Domestic Real Food Dollar,0.9,0,0.9,Legal & accounting
4,Food and beverage dollar,14,6/16/05,Cents per Domestic Real Food Dollar,0,0,106.4,Total food dollar
4,Food and beverage dollar,15,6/16/05,Cents per Domestic Real Food Dollar,0,0,100,Domestic food dollar
4,Food and beverage dollar,16,6/16/05,Cents per Domestic Real Food Dollar,0,0,15.7,Farm share
5,Home food and beverage dollar,1,6/16/05,Cents per Domestic Real Food Dollar,91.1,4.2,96.7,Total
5,Home food and beverage dollar,2,6/16/05,Cents per Domestic Real Food Dollar,3.2,0.4,3.6,Agribusiness
5,Home food and beverage dollar,3,6/16/05,Cents per Domestic Real Food Dollar,10.4,0.9,11.3,Farm production
5,Home food and beverage dollar,4,6/16/05,Cents per Domestic Real Food Dollar,25.9,1.4,27.1,Food processing
5,Home food and beverage dollar,5,6/16/05,Cents per Domestic Real Food Dollar,4.4,0.9,5.4,Packaging
5,Home food and beverage dollar,6,6/16/05,Cents per Domestic Real Food Dollar,4.2,0.2,4.4,Transportation
5,Home food and beverage dollar,7,6/16/05,Cents per Domestic Real Food Dollar,16.6,-0.2,16.3,Wholesale trade
5,Home food and beverage dollar,8,6/16/05,Cents per Domestic Real Food Dollar,25.6,0.3,26,Retail trade
5,Home food and beverage dollar,9,6/16/05,Cents per Domestic Real Food Dollar,0.1,0,0.1,Foodservices
5,Home food and beverage dollar,10,6/16/05,Cents per Domestic Real Food Dollar,1.9,0.2,2.1,Energy
5,Home food and beverage dollar,11,6/16/05,Cents per Domestic Real Food Dollar,3.8,0.1,3.9,Finance & Insurance
5,Home food and beverage dollar,12,6/16/05,Cents per Domestic Real Food Dollar,2.6,0.1,2.7,Advertising
5,Home food and beverage dollar,13,6/16/05,Cents per Domestic Real Food Dollar,0.9,0,0.9,Legal & accounting
5,Home food and beverage dollar,14,6/16/05,Cents per Domestic Real Food Dollar,0,0,105.7,Total food dollar
