YEAR,MONTH,SUPPLIER,ITEM CODE,ITEM DESCRIPTION,ITEM TYPE,RETAIL SALES,RETAIL TRANSFERS,WAREHOUSE SALES
2017,6,TRI-VIN IMPORTS,166499,TERRA DE LOBOS RED - 750ML,WINE,1.15,1.00,2.00
2017,6,BARON FRANCOIS LTD,166618,CH LA MOULINIERE WH BORD - 750ML,WINE,1.14,0.00,2.92
2017,6,ELITE WINES IMPORTS,166731,TIERRA DIVINA REDS - 750ML,WINE,0.00,0.00,3.00
2017,6,A VINTNERS SELECTIONS,166871,LAFOND P/NOIR - 750ML,WINE,0.00,0.00,1.00
2017,6,FRANCIS COPPOLA WINERY LLC,16691,COPPOLA PRESENTS SHZ - 750ML,WINE,6.29,4.00,1.00
2017,6,HEAVEN HILL DISTILLERIES INC,16705,HPNOTIQ LIQUEUR - 750ML,LIQUOR,42.06,49.00,1.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,167100,CECCHI CHIANTI DOCG - 750ML,WINE,0.33,0.00,0.00
2017,6,BANFI PRODUCTS CORP,16721,SARTORI P/GRIG - 750ML,WINE,5.07,5.00,3.00
2017,6,FERRARI CARANO WINERY,16756,FERRARI CARANO CHARD TRE TERRE - 750ML,WINE,0.32,1.00,0.00
2017,6,A VINTNERS SELECTIONS,167681,HAHN EST CHARD - 750ML,WINE,0.00,0.00,1.00
2017,6,LEGENDS LTD,1678,BOSTEELS TRIPLE KARMELIET 6/4,BEER,0.00,0.00,3.00
2017,6,DIAGEO NORTH AMERICA INC,16810,GEORGE DICKEL #8 SOUR MASH - 1.75L,LIQUOR,0.51,0.00,0.00
2017,6,BACCHUS IMPORTERS LTD,168521,HERON CHARD - 750ML,WINE,0.00,0.00,1.00
2017,6,BACCHUS IMPORTERS LTD,168840,JL CHAVE MON COUEUR CDR - 750ML,WINE,0.00,0.00,1.00
2017,6,LAPHAM SALES & MARKETING DBA LAPHAM,16888,AGUARDIENTE CRISTAL - 750ML,LIQUOR,7.77,7.00,0.00
2017,6,MONSIEUR TOUTON SELECTION,169005,PETIT BOURGEOIS S/BLC  - 750ML,WINE,0.00,0.00,1.00
2017,6,RELIABLE CHURCHILL LLLP,169161,ARIEL CHARD NON ALCOHOLIC - 750ML,NON-ALCOHOL,1.07,-0.08,0.00
2017,6,JIM BEAM BRANDS CO,16918,CRUZAN RUM - VANILLA - 750ML,LIQUOR,3.01,4.00,0.00
2017,6,MONSIEUR TOUTON SELECTION,169315,SANG DI PUGLIA SOPITA - 750ML,WINE,0.00,0.00,1.00
2017,6,LUNEAU USA INC,169722,CH FERRANDE GRAVES RED - 750ML,WINE,0.67,0.00,1.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,169749,CRISTALINO BRUT 24/CS - 187ML,WINE,0.41,0.00,0.00
2017,6,VINTAGE WINE ESTATES INC,169765,CARTLIDGE & BROWN CHARD - 750ML,WINE,3.30,5.00,1.00
2017,6,PROXIMO SPIRITS INC,16985,BUSHMILL'S MALT 16YR - 750ML,LIQUOR,1.01,2.00,0.00
2017,6,A VINTNERS SELECTIONS,169994,YAEGAKI NIGORI SAKE - 720ML,WINE,0.00,0.00,2.00
2017,6,JACKSON FAMILY ENTERPRISES INC,17000,K JACKSON GRAND RES CAB - 750ML,WINE,9.78,11.00,7.00
2017,6,MHW LTD,77534,MATEUS ROSE - 750ML,WINE,10.53,13.00,7.00
2017,6,INTERBALT PRODUCTS CORP,170445,SOVIETSKOYE RED MUSCAT CHAMP - 750ML,WINE,0.00,0.00,1.00
2017,6,REPUBLIC NATIONAL DISTRIBUTING CO,17051,EROCIA RIESLING 6/CS - 750ML,WINE,2.69,4.00,2.00
2017,6,A VINTNERS SELECTIONS,170704,CAPARZO SANG - 750ML,WINE,0.00,0.00,2.00
